vehicle_id,latitude,longitude,ingestion_ts,event_ts,event_date,location,processed_at,joined_at,forecast_time,ingestion_date,trip_sk,route_sk
1752073496_6215,47.60171890258789,-122.33026885986328,2025-07-09T15:05:07.057Z,2025-07-09T15:03:01.000Z,2025-07-09,"{""latitude"":47.60171890258789,""longitude"":-122.33026885986328}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,809dfd4afa1088000c715a289026db3c8882d1973e8076b40b8c517249a498ea,5c48ac3c4c745fec462774c7beb4befc1ec4c45c86de487f7d06ce4ad119e9c7
1752073496_7480,47.71118927001953,-122.1910171508789,2025-07-09T15:05:07.055Z,2025-07-09T15:04:17.000Z,2025-07-09,"{""latitude"":47.71118927001953,""longitude"":-122.1910171508789}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,5e62087ed07606375fa181c89f824597a9b94a0d66d946073b372d25492ff2c0,14259ed03f959f3823831a2c908cd527ede494cd146096a452177b924f74ad6d
1752073496_7117,47.61577606201172,-122.34660339355469,2025-07-09T15:05:07.054Z,2025-07-09T15:04:25.000Z,2025-07-09,"{""latitude"":47.61577606201172,""longitude"":-122.34660339355469}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,fde9624d2f360be0739cc1a27ad920f69a58f2c8fa0cccd805ec832e06ec4298,04e47f2b6de388d69bf4a9ef597a0e19d2d8178eedca0b7b9128acc0d64dad3d
1752073496_7228,47.76377868652344,-122.32235717773438,2025-07-09T15:05:07.058Z,2025-07-09T15:00:08.000Z,2025-07-09,"{""latitude"":47.76377868652344,""longitude"":-122.32235717773438}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,6500bf627e305a76bb44279b92cf5f759b16ff71f311718e0bcf6a6b91aaf2cb,edb726bb88e338b663c271dce8f954d7434451e7837843f6abc4a428903f9497
1752073496_7231,47.67583465576172,-122.31780242919922,2025-07-09T15:05:07.057Z,2025-07-09T15:04:22.000Z,2025-07-09,"{""latitude"":47.67583465576172,""longitude"":-122.31780242919922}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,8792cfc58f5b80183dfed617068afe1a5ee30deac2ee2007f13dbb4a7ca1d6b5,b7243336ba5b2d3142eefc7e634b917a836babed11bac4db193393d341546cd3
1752073496_4522,47.651641845703125,-122.30982971191406,2025-07-09T15:05:07.055Z,2025-07-09T15:04:15.000Z,2025-07-09,"{""latitude"":47.651641845703125,""longitude"":-122.30982971191406}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,e11ea8b6437de1514734c24eb740f78b86e7e708ac53da6e4d2c25a932ccb403,402d0cb645ff623115113b9ad65047a84914af4dd10fa67650011a9ac216d355
1752073496_7118,47.38665008544922,-122.30912780761719,2025-07-09T15:05:07.056Z,2025-07-09T15:04:17.000Z,2025-07-09,"{""latitude"":47.38665008544922,""longitude"":-122.30912780761719}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,8aa48c66521efc159fd1a0a557fdf2ec10aebedd717661ae8987d18c62d28e5b,92202140a902559ac0e0d85cdec27963b904ca52f51da00faa9f09f25526d31b
1752073496_7138,47.57572555541992,-122.2967529296875,2025-07-09T15:05:07.054Z,2025-07-09T15:04:17.000Z,2025-07-09,"{""latitude"":47.57572555541992,""longitude"":-122.2967529296875}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,d9ab7c5ffda85ebbdfd5bf4b27fa3126a7feeccedea5bdcf50001ad0a7130061,91fdf4f532320b3407dcaa0ebbaea31d6990fddf5b7b9ccc5739951de6758dd0
1752073496_8114,47.7285041809082,-122.29644775390625,2025-07-09T15:05:07.056Z,2025-07-09T15:04:22.000Z,2025-07-09,"{""latitude"":47.7285041809082,""longitude"":-122.29644775390625}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,9ceadb1ffec68240bc8267a6d520109ad5a7537ca28073397cf25fc8dae1575c,4ba847571e45408b691d471e6f88aadee9d2e0d6525a593c9e54a589d95d9f43
1752073496_8200,47.570953369140625,-122.35353088378906,2025-07-09T15:05:07.056Z,2025-07-09T15:04:22.000Z,2025-07-09,"{""latitude"":47.570953369140625,""longitude"":-122.35353088378906}",2025-07-09T15:05:46.422Z,2025-07-09T15:06:26.994Z,2025-07-09T16:00:00.000Z,2025-07-09,ddb1bf9b50bf266ac0739743d24a5596126de953591434398489f2551e7ed8bc,bb6b0896053a689b5dff5c0b6b481102ccdaca9e974f2b673ac0d0c24f8be6c2
